emotion,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
feliz,-645.9547119,63.11670685,-4.388942719,12.58835411,4.241159439,-2.902260065,-5.671872616,-6.623362541,-11.53238297,-2.380413055,-1.291012645,-6.802652359,1.182794452
feliz,-584.8095093,43.18486786,-21.30186272,8.527551651,-6.874345779,-6.161053181,-4.632481575,-12.89824486,-4.476371765,-3.367257118,-5.523036003,-2.717317343,-8.498697281
feliz,-541.2650757,62.41871262,-10.42265415,4.583743572,3.384928942,-0.819500327,-14.04744244,-11.29045868,-9.412293434,-9.156745911,3.808986664,-7.475106716,-5.142444611
feliz,-650.4511108,46.44555664,-16.17593765,6.334686279,-7.713890553,-8.613977432,-7.716543198,-14.30440426,-8.141252518,-4.452997684,-7.79250288,-8.840263367,-6.359795094
feliz,-675.9472046,65.55760956,4.397749901,15.49056149,9.071380615,1.690505147,-0.546786427,-1.078730822,-10.26743889,-3.262257576,6.100594997,-2.436399698,-1.746397018
feliz,-614.2468262,61.17362976,-40.49807739,15.64833832,1.493544459,-23.82686615,-16.22194862,-13.57777119,-4.095544338,0.415115654,-13.92741871,-3.725718498,-2.69775486
feliz,-651.319458,73.87558746,-4.275229931,21.81031799,12.82529354,1.961017966,-2.853671551,-7.21830225,2.140621185,4.117443562,-0.983415604,3.057941198,5.589633942
feliz,-647.2014771,62.1517601,-6.938225746,18.69614601,7.275500774,0.70330894,1.501263976,-7.248975754,2.03184104,-2.158639193,0.328934729,-3.082444429,-0.545075953
feliz,-698.0528564,96.59705353,11.39573002,18.54522324,20.75855827,4.82626152,-4.267109871,-5.396046162,-10.63376045,-1.401415348,-2.150457144,-0.183215201,1.59680891
feliz,-504.3760376,46.85972595,-13.03363895,3.991980553,3.575058699,-8.070892334,-4.563448906,-14.07346535,-6.542047024,-1.698194504,-5.56258297,-4.47689724,-2.784255028
feliz,-671.8112183,58.46775818,12.80698872,13.26746655,9.862153053,5.294547081,1.013310671,-3.117685795,-1.842077851,-2.716324091,3.936976671,1.467789888,-1.772957325
feliz,-603.1607666,55.99487305,-20.01912498,8.42783165,-0.631073117,-8.570350647,-2.87036562,-12.96195793,-6.953828335,-0.166119054,-6.08362484,-0.725128651,-9.669363022
feliz,-669.8610229,60.15792465,-6.026156902,10.19150925,8.390520096,0.619779885,-3.72735548,-4.265943527,-8.108514786,2.084365129,1.695075512,-3.444383621,5.503911495
feliz,-532.5893555,27.92451859,-16.828022,10.33533192,-9.289375305,-15.85425091,-5.031611443,-14.07231617,-1.984807372,-6.496324062,-7.260488987,1.498945832,-7.534767151
feliz,-614.2878418,70.56147766,-9.808884621,14.55042744,12.02476025,-4.417318344,-0.478945315,-0.162794262,-6.476713657,0.711789727,1.542134762,0.857406557,0.195288017
feliz,-592.8068237,41.24214935,-12.09063148,7.786869049,-2.870518208,-8.808645248,-10.19584656,-9.718951225,-5.995808601,-0.203981251,-10.3227253,-3.725636244,-0.600300133
feliz,-610.1369019,61.73306656,5.957527637,14.20125771,11.47287369,7.994277477,3.772367001,-5.596585274,-3.750156641,2.53660202,-0.450576186,-1.196937561,3.949304581
feliz,-628.1587524,45.05205917,-10.68761826,2.072387695,-0.718247175,-6.488550186,-3.144197464,-14.83570004,-7.531737328,-5.959596157,-5.72516346,-5.286481857,-6.508719444
feliz,-653.7885742,74.39235687,8.322384834,11.34893417,3.74832058,8.154741287,-6.001326561,-5.279405117,-7.976394653,-1.226965666,5.6431427,-5.650707245,-1.27464056
feliz,-572.8164063,34.40852737,-14.77135181,3.932291985,-8.077448845,-12.51195526,-6.838619709,-15.84442997,-9.628416061,-4.73582077,-10.09433556,-1.358177304,-9.728366852
feliz,-577.3718872,62.68403625,-3.118844748,13.21093941,7.984892845,-6.376448154,-1.368536353,-6.189046383,-9.481477737,0.801996887,-2.602592468,-4.780108452,-0.065611176
feliz,-630.6679688,56.89254761,-8.45818615,1.242877245,4.347367764,-4.839707375,-9.982683182,-11.16238689,-10.44346333,-1.777043819,-5.896136284,-8.825100899,-2.046561718
feliz,-638.5372314,47.4158783,-8.420136452,4.077250004,5.123971462,-5.845613956,-5.660417557,-7.539271832,-11.52666855,-5.461642265,-2.863677979,-4.445194244,-4.040186882
feliz,-659.354187,41.2735405,-11.07002735,1.159309268,-6.558924198,-8.341076851,-9.272997856,-8.43902874,-9.557429314,-6.666583061,-9.8328619,-1.308920145,-7.75303936
feliz,-631.4069824,62.99947739,-5.819209576,15.46005535,6.526638031,-1.588886976,-6.597417831,-4.806328773,-13.67724609,-1.364501119,0.133366495,-6.366864681,3.405448437
feliz,-604.6987305,45.07209015,-17.89017868,12.04152584,-6.429032803,-6.602799416,-4.548531532,-12.55114365,-3.584336758,-4.131624699,-6.316832066,-1.837648749,-7.810060024
feliz,-518.6859741,60.04229355,-13.12733936,-1.508280039,-3.823979378,-0.082429253,-13.79461193,-11.44592476,-9.528757095,-11.9506197,2.020476341,-9.76290226,-5.478363991
feliz,-598.9671021,39.63637543,-20.28709412,5.702581882,-6.810518742,-11.35649014,-5.13940382,-15.26024437,-8.590343475,-2.932332277,-7.216058254,-7.563581944,-6.929522991
feliz,-655.9602051,62.27328491,-0.596609473,14.28057861,10.20751286,0.400630414,-0.364324301,0.467301458,-5.173545837,0.353808373,4.05305624,-1.198087096,-1.648273349
feliz,-573.9298706,41.64294052,-50.23237991,7.408245564,-2.84758091,-24.29172516,-15.48738956,-16.60484695,-10.64371872,5.517234325,-17.06131363,-3.278308868,-5.3733778
feliz,-636.4077148,77.04603577,-5.493262291,14.96754265,8.586665154,-6.11167717,-7.806066036,-8.928538322,1.564230084,-1.057517886,-5.099205017,1.887649894,2.31991291
feliz,-639.6183472,55.00041962,-7.707785606,21.59233093,6.004529476,-2.404043198,1.700359941,-5.881275654,0.694127321,-0.626341224,0.054404445,-3.249483347,-0.271271527
feliz,-664.6172485,76.9065094,1.415858507,15.8757658,19.00173187,0.363481313,-4.146671772,-4.084272385,-2.492619991,3.297564268,-2.025225163,-1.697181463,-1.0314852
feliz,-499.6004639,46.04001999,-10.46660137,4.029797554,2.135575056,-9.660831451,-8.20173645,-15.4072237,-8.206768036,-0.03969584,-8.581496239,-6.846233845,-1.507891774
feliz,-666.7286377,61.36263657,16.28701591,11.99450016,10.76356792,6.989388943,1.184511542,1.044621706,-2.344036102,0.496503145,4.651090145,0.389564246,-0.176924601
feliz,-600.1506348,60.42351151,-13.75003338,7.84217453,2.763007402,-7.929939747,-1.314599037,-10.24334335,-7.635983467,1.091011405,-4.60635519,1.696973324,-7.441522121
feliz,-672.1675415,60.62053299,-4.723745346,9.176287651,9.570806503,1.591095686,-4.388344765,-3.302017927,-9.017383575,1.022680521,2.449865341,-4.22023344,4.911707878
feliz,-549.6480713,29.45744896,-11.85942459,0.359777957,-6.897814751,-12.53013039,-5.656980991,-10.53582764,-1.828166842,-5.634954453,-6.581182957,-3.607494831,-10.01867867
feliz,-601.1489868,69.35263062,-5.754327774,14.60999584,11.54049683,-2.550797224,2.942946196,0.533516169,-4.510875702,1.412349224,0.848750532,3.154320717,0.621558964
feliz,-569.329834,40.16785049,-7.372635365,10.32196045,-1.682723165,-6.386352539,-9.667096138,-6.645211697,-2.849653244,-0.61040616,-8.759113312,-2.77553153,-0.281172037
feliz,-579.5532837,56.86444473,-1.7325176,14.81386566,11.03787518,6.269976616,2.230475426,-7.302996159,-5.016216278,6.15389061,0.469922245,-4.9591856,4.706696987
feliz,-628.4073486,42.05371857,-13.93992424,4.790250778,-0.537239492,-9.554270744,-7.566366196,-17.3446846,-6.138352394,-1.284363389,-5.079163074,-7.486701012,-6.177662373
feliz,-620.7034302,65.76584625,7.153874397,17.17068863,3.670679092,11.23831654,-1.463577271,-3.670236588,-4.280714512,-3.287059784,4.248865128,-8.081536293,-0.103484489
feliz,-630.4017944,33.5484848,-13.27102661,1.908035278,-8.34120369,-11.79052162,-5.847010612,-15.82653522,-5.659479618,-8.911412239,-4.507062435,-3.024150372,-9.143471718
feliz,-571.6765137,65.34757233,-6.942835331,14.91270161,12.832798,-6.879656315,-0.426805168,-4.339449883,-10.35901737,2.245115757,-1.169742346,-5.237194538,0.737379611
feliz,-650.0091553,47.64015198,-15.27075481,-1.244532228,4.112201691,-8.140749931,-11.0693655,-11.83037663,-10.70912838,-0.799286008,-6.374837399,-7.696671009,-1.998581886
feliz,-583.2824707,43.21059036,-7.08360672,2.080391169,4.319869041,-5.281988144,-5.243834019,-6.440218925,-10.22208118,-4.267207623,-3.134964943,-4.974707127,-3.015966177
feliz,-654.6074219,44.2133255,-15.16828918,4.616413116,-4.778446198,-8.689507484,-8.638118744,-9.353243828,-8.107059479,-4.342986584,-10.44153881,-0.568513632,-6.587172031
